Indicador 3.1.1 - Razão de mortalidade materna;;;;;;;;;;
Taxa de mortalidade materna (Óbitos por 100.000 nascidos vivos);;;;;;;;;;
"Brasil, Grandes Regiões e Unidades da Federação";2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Brasil;"61,8";"59,3";"62,1";"63,8";62;"64,4";"64,5";"59,1";"57,9";"74,7"
Norte;"74,7";"73,2";"83,8";"93,6";76;"84,5";"88,9";"80,8";"82,5";"98,9"
Rondônia;"58,3";"64,1";"94,2";"87,7";"57,7";"56,4";"87,3";"47,8";"59,6";"78,1"
Acre;"33,7";"53,9";"58,6";"46,7";"58,9";"69,7";"48,9";"54,4";"49,1";33
Amazonas;"84,6";85;"81,6";"120,8";"78,8";"84,7";"75,6";"108,4";"84,8";"101,8"
Roraima;"67,5";38;"74,5";"60,4";"96,4";"52,7";"59,6";"100,6";"91,9";"146,4"
Pará;"73,8";"78,9";"86,7";"96,4";"72,9";"86,4";"107,4";"81,4";"96,1";"107,1"
Amapá;"53,3";"54,1";"119,7";66;"110,8";"141,7";"45,5";"88,3";"32,6";"102,5"
Tocantins;"112,6";"53,3";"61,2";"60,1";"85,6";"92,2";"96,3";"31,6";"71,4";"79,2"
Nordeste;"77,9";"72,7";"82,4";"77,9";"75,3";78;"73,2";"67,1";"63,6";"91,8"
Maranhão;"109,8";"96,1";"123,8";"100,9";"116,5";"122,2";"101,8";"90,6";"80,6";"108,9"
Piauí;"107,1";126;"130,2";"86,8";"103,6";"108,5";"88,6";"105,8";"98,1";101
Ceará;"68,4";"69,4";"74,5";"65,3";"49,1";"63,4";"65,7";"68,4";"58,1";"97,6"
Rio Grande do Norte;"68,6";66;"54,5";"74,8";"68,4";"77,2";"77,9";"58,6";"70,4";"78,1"
Paraíba;"61,7";"61,5";"70,9";63;"81,8";"99,9";"67,8";"53,2";"62,8";"97,7"
Pernambuco;"57,5";56;"64,3";"63,4";"67,6";"58,1";"63,3";"59,2";48;"70,8"
Alagoas;"66,8";"56,3";"71,6";"104,1";"59,1";"51,9";"37,7";"49,5";"58,2";"82,7"
Sergipe;83;"70,4";"67,2";"66,9";"51,6";"55,9";"56,1";"58,8";"36,7";"97,5"
Bahia;"80,6";70;"80,6";81;"75,4";"72,6";"76,9";"60,8";64;"93,1"
Sudeste;"48,7";"46,5";"50,1";"53,9";"54,3";"55,8";"62,3";"53,2";"53,5";"65,1"
Minas Gerais;"40,3";"36,6";"47,6";49;47;"46,9";"45,2";"51,2";"44,4";51
Espírito Santo;"60,8";"64,4";"59,6";"109,2";"73,1";"48,7";"71,6";"63,9";"56,2";"68,8"
Rio de Janeiro;"74,3";"80,8";"80,3";"71,9";"67,1";"71,6";"84,7";"61,7";"74,5";"95,4"
São Paulo;42;"36,8";"39,3";"44,2";"50,8";"54,4";"60,6";50;"49,7";"60,1"
Sul;"50,4";"54,5";"36,6";"41,7";"43,7";"44,2";"38,5";"38,2";"38,3";"45,6"
Paraná;"52,7";"38,4";"41,7";"41,3";"51,7";"50,3";"31,7";"38,4";"45,5";"52,6"
Santa Catarina;"30,7";"45,4";"31,4";"30,2";"30,9";"31,5";"40,7";"35,1";"30,6";"31,7"
Rio Grande do Sul;"60,5";"78,3";"34,2";"49,7";"43,4";46;"44,5";"40,3";"39,9";"48,3"
Centro-Oeste;"68,2";"64,3";"62,5";"60,2";"65,9";"67,3";"56,9";"64,9";59;77
Mato Grosso do Sul;"92,4";"73,1";"66,7";"79,3";"88,2";"80,1";"60,3";"84,9";"64,5";"48,8"
Mato Grosso;"83,9";"58,5";"71,6";"63,7";"82,9";"78,5";"61,1";58;"64,6";"91,8"
Goiás;"50,9";"70,5";"56,7";"53,8";"56,6";"56,5";"56,4";"64,7";"69,7";"90,5"
Distrito Federal;"61,8";"49,4";"60,3";51;"43,7";"64,6";"49,4";"54,3";"21,2";"53,4"
