Indicador 3.1.2 - Proporção de nascimentos assistidos por profissional de saúde qualificado;;;;;;
"Brasil, Grandes Regiões e Unidades da Federação";Proporção de nascimentos assistidos por profissional de saúde qualificado (%);;;;;
;2015;2016;2017;2018;2019;2020
Brasil;"98,2";"98,6";"98,7";"98,8";"98,4";"98,4"
Norte;"95,1";"95,2";96;"96,9";"96,3";"96,7"
Rondônia;"96,5";"91,8";"90,6";"96,9";"99,4";"99,3"
Acre;"95,7";"98,2";"97,4";98;"97,8";"97,7"
Amazonas;"95,5";"95,5";"96,4";"96,6";"95,8";"95,7"
Roraima;"92,4";92;"93,3";"91,1";"91,3";"90,6"
Pará;"93,8";"94,7";"96,1";"96,7";"95,9";97
Amapá;"97,8";"98,2";"98,3";"98,4";94;"97,5"
Tocantins;99;"98,9";"99,3";"99,4";"99,3";"98,2"
Nordeste;"97,5";98;"97,9";"98,1";"97,1";"97,1"
Maranhão;"96,7";"96,9";97;"98,1";98;"92,1"
Piauí;"98,5";"98,7";"98,6";"99,1";"99,2";99
Ceará;"96,2";"98,6";99;"98,2";"96,5";"96,4"
Rio Grande do Norte;"96,4";94;"99,3";"98,8";"99,6";"99,6"
Paraíba;"98,9";"99,2";"99,2";"99,4";"98,4";98
Pernambuco;"98,3";"98,8";"98,5";"98,9";99;99
Alagoas;99;99;92;"95,4";"86,2";"99,1"
Sergipe;"99,3";"99,3";"99,2";"99,4";"99,1";"99,1"
Bahia;"97,3";"97,8";"97,7";"97,3";"96,7";"97,1"
Sudeste;"98,9";"99,4";"99,5";"99,5";"99,4";"99,4"
Minas Gerais;"98,6";99;"99,2";"99,1";"98,9";"98,8"
Espírito Santo;"99,3";"99,8";"99,7";"99,7";"99,8";"99,7"
Rio de Janeiro;"99,6";"99,6";"99,5";"99,5";"99,5";"99,5"
São Paulo;"98,8";"99,5";"99,7";"99,7";"99,6";"99,5"
Sul;"99,6";"99,6";"99,6";"99,5";"99,3";"99,5"
Paraná;"99,3";"99,5";"99,4";"99,5";"99,6";"99,7"
Santa Catarina;"99,5";"99,6";"99,7";"99,1";98;"98,9"
Rio Grande do Sul;"99,8";"99,8";"99,8";"99,8";"99,8";"99,8"
Centro-Oeste;"98,1";"98,8";"99,2";"99,2";"99,1";99
Mato Grosso do Sul;"98,8";"99,6";"99,5";"99,5";"99,6";"99,5"
Mato Grosso;"98,5";"98,4";"98,9";"98,3";"97,9";"98,1"
Goiás;97;"99,2";"99,3";"99,4";"99,4";99
Distrito Federal;"99,6";98;"99,4";"99,5";"99,5";"99,5"
