Indicador 3.2.1 - Taxa de mortalidade em menores de 5 anos;;;;;;;
Taxa de mortalidade em menores de 5 anos (Óbitos por 1000 nascidos vivos);;;;;;;
"Brasil, Grandes Regiões e Unidades da Federação";2014;2015;2016;2017;2018;2019;2020
Brasil;"16,3";"15,8";"16,4";"15,6";"15,2";"15,4";14
Norte;21;"20,9";"21,7";"20,4";"19,9";"19,9";"18,9"
Rondônia;"17,3";17;"17,2";"16,3";"15,6";"14,8";"15,7"
Acre;"19,6";"18,8";"19,5";"17,6";"19,5";"19,5";"19,3"
Amazonas;"22,2";"21,6";"22,4";"22,2";"21,7";"21,5";"18,7"
Roraima;"22,3";22;"25,8";"23,3";"25,1";"23,4";23
Pará;"20,9";"19,6";22;"19,9";"18,9";"19,3";19
Amapá;"25,2";25;"26,8";28;"25,7";"27,5";"24,8"
Tocantins;"19,8";"18,6";"19,1";"17,8";"18,3";"16,9";"15,5"
Nordeste;"18,7";18;19;"18,2";"17,4";"17,5";"16,3"
Maranhão;"19,5";"19,1";"19,1";"20,3";"19,2";"19,3";"18,7"
Piauí;"20,6";"19,4";"22,3";"21,1";"20,6";20;"18,5"
Ceará;"15,7";"15,4";"16,8";17;"15,6";"15,7";"14,7"
Rio Grande do Norte;"17,9";"17,5";18;"16,8";"16,1";"16,7";"14,7"
Paraíba;"18,3";"17,7";"17,9";"17,6";"15,8";"17,5";"16,2"
Pernambuco;"16,9";"16,6";"18,3";"15,7";"15,4";15;"13,7"
Alagoas;"18,3";"17,5";"18,2";"17,2";16;17;"15,2"
Sergipe;20;"19,9";"19,9";"19,2";"19,4";"19,7";"18,1"
Bahia;"21,1";"20,9";"20,5";"19,2";"18,9";"18,9";"17,5"
Sudeste;"14,2";"13,9";"14,2";"13,5";"13,3";"13,8";"12,2"
Minas Gerais;"16,5";"15,9";"16,1";"15,4";"14,4";"15,1";"13,1"
Espírito Santo;"13,3";"13,3";"14,2";"12,6";"12,4";"12,6";"11,4"
Rio de Janeiro;"14,6";"14,4";"15,8";"14,4";"14,7";"15,3";"14,3"
São Paulo;"13,1";"12,2";"12,8";"12,5";"12,4";"12,8";"11,1"
Sul;"12,4";"11,9";"11,7";"11,7";"11,6";"11,8";"10,4"
Paraná;"12,9";"12,4";"12,4";"11,8";"12,2";"12,2";"10,7"
Santa Catarina;"11,6";"11,4";"10,3";"11,4";"10,8";"10,9";"10,5"
Rio Grande do Sul;"12,2";"11,7";"11,8";"11,9";"11,4";"12,1";"9,8"
Centro-Oeste;"17,7";"17,7";"17,1";"15,3";"15,3";"15,4";14
Mato Grosso do Sul;"15,5";"14,3";"15,9";"12,6";"13,6";"13,1";"12,8"
Mato Grosso;22;"22,2";"21,2";"18,6";"17,8";"18,3";"16,8"
Goiás;"18,1";"18,1";"17,8";"15,8";"16,3";"16,8";"14,1"
Distrito Federal;"13,1";"12,2";"11,9";"12,8";"11,5";"10,3";"10,7"
