Indicador 3.2.2 - Taxa de mortalidade neonatal;;;;;;;;;;
Taxa de mortalidade neonatal (Óbitos por 1000 nascidos vivos);;;;;;;;;;
"Brasil, Grandes Regiões e Unidades da Federação";2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Brasil;"10,6";"10,3";"9,9";"9,8";"9,4";"9,6";"9,5";"9,1";"9,2";"8,8"
Norte;"13,4";"12,6";"11,8";"11,6";"11,3";12;"11,7";"11,5";"10,9";"10,8"
Rondônia;"10,9";"10,1";"9,2";"9,9";"10,4";"10,1";"9,3";"8,9";8;"9,6"
Acre;"10,8";"9,7";"10,9";"9,4";"10,6";"8,5";"9,4";"10,7";"8,1";"10,1"
Amazonas;"13,1";"12,3";"11,3";"11,3";"11,1";"11,6";"12,2";12;"11,9";"10,4"
Roraima;"9,9";"10,3";"11,4";"11,9";"10,8";"12,1";11;"13,7";"10,2";"12,9"
Pará;"14,8";"13,6";"12,5";"12,4";"11,8";"12,9";"12,1";"11,2";"11,3";"11,1"
Amapá;17;"16,8";"16,2";"13,4";"12,4";"15,2";"14,4";"15,6";"14,4";"15,4"
Tocantins;"10,7";"10,7";"10,7";"10,7";"10,3";"11,3";"10,1";"10,5";9;"8,6"
Nordeste;"12,7";"12,4";"11,7";"11,5";"11,1";"11,6";"11,3";"10,6";"10,6";"10,4"
Maranhão;"13,9";"13,4";"11,9";"11,7";"11,5";"11,2";"12,3";"11,1";"11,4";"11,5"
Piauí;"15,4";"14,4";"13,3";"13,2";"11,8";"14,1";"12,3";"12,3";"11,3";"10,8"
Ceará;"10,4";"10,5";"10,1";"9,6";"9,3";"9,9";"10,2";"9,5";"9,2";"9,2"
Rio Grande do Norte;"11,6";"12,1";"10,9";"10,5";"11,2";"10,3";"9,8";"9,9";"9,6";"9,9"
Paraíba;"12,3";"12,6";"11,2";"11,5";10;"10,2";11;"9,3";"10,4";"10,1"
Pernambuco;"10,6";"10,9";"10,4";"10,2";"10,4";11;"9,5";"9,3";"9,3";"8,6"
Alagoas;"11,5";"10,6";"10,4";"11,1";"10,9";"10,4";"9,6";"9,4";"9,7";"9,3"
Sergipe;"12,2";"12,5";"12,2";"12,2";12;"12,4";"13,2";13;"12,5";"11,8"
Bahia;"14,9";"14,2";"13,7";"13,4";"12,2";"13,4";"12,9";"12,1";12;"11,8"
Sudeste;"8,9";"8,8";"8,6";"8,6";"8,2";"8,3";"8,2";8;"8,2";"7,7"
Minas Gerais;"11,2";"10,6";"10,2";"10,2";"9,6";"9,5";"9,4";9;"9,1";"8,5"
Espírito Santo;"8,3";"7,8";"7,7";"8,3";"7,8";8;"7,7";"7,4";"7,1";7
Rio de Janeiro;"9,2";"9,1";"8,8";"8,8";"8,4";"8,7";"8,6";"8,4";"8,8";"8,8"
São Paulo;"7,9";8;"7,9";"7,9";"7,6";"7,7";"7,7";"7,4";"7,8";7
Sul;"7,8";"7,7";"7,4";"7,6";"7,5";7;"7,3";"7,2";"7,4";"6,8"
Paraná;"8,3";8;"7,8";8;"7,9";"7,4";"7,5";"7,6";"7,3";"6,8"
Santa Catarina;"7,4";"7,8";"6,9";"7,1";"7,2";"6,3";"7,4";"6,9";"7,1";"7,2"
Rio Grande do Sul;"7,6";"7,4";"7,1";"7,4";"7,2";"7,1";7;"7,1";"7,6";"6,7"
Centro-Oeste;"10,9";"10,9";"10,6";"10,4";"9,7";10;"9,3";"9,2";"9,1";"8,6"
Mato Grosso do Sul;"9,4";"8,5";"8,2";"8,5";"8,1";"8,2";"7,8";"7,6";"7,2";"7,6"
Mato Grosso;"12,4";"12,5";"12,4";"11,8";"11,1";"11,4";"10,4";"9,8";"10,1";"9,3"
Goiás;"11,6";12;"11,4";"11,2";"10,4";"11,1";"9,8";"10,1";"10,5";9
Distrito Federal;"8,6";"8,8";"8,8";"8,5";"8,2";"7,8";"8,2";"7,9";"6,3";"7,2"
