Indicador 3.3.2 - Taxa de incidência da tuberculose por 100 mil habitantes;;;;;;;;;;;;;;;;;;;;
Taxa de incidência da tuberculose por 100 mil habitantes (Casos por 100.000 habitantes);;;;;;;;;;;;;;;;;;;;
"Brasil, Grande Região e Unidade da Federação";2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Brasil;"43,6";"43,6";"42,5";"41,7";"38,7";38;"38,6";"37,9";"36,7";"37,3";"36,1";"35,9";35;"34,6";"34,6";"36,1";"37,4";"37,4";"32,9";"34,2"
Norte;"50,8";"49,6";"50,2";"47,9";"46,2";"44,6";"44,8";"46,4";45;"45,7";"44,2";"45,7";"44,5";"44,3";"45,6";"48,1";"48,9";54;"47,2";"50,4"
Rondônia;"37,3";"37,5";36;"36,1";"29,7";"30,5";"30,9";"36,3";"29,3";"35,2";"34,6";"34,4";34;"31,1";"35,6";"34,8";"31,5";"34,3";"26,5";30
Acre;"50,8";"49,3";"43,6";"40,7";"51,4";"40,7";"38,5";"43,7";"41,1";"45,2";45;"44,3";"48,8";"36,4";"45,6";"49,9";"50,1";"59,2";61;"58,5"
Amazonas;"71,6";"67,6";"69,4";"66,4";"66,4";"63,3";"68,3";"66,6";"66,3";"61,2";"65,9";"71,1";"71,1";"74,9";"71,9";"76,9";"77,5";"78,6";"67,7";"73,5"
Roraima;"41,9";45;50;"33,9";"31,1";"29,9";"32,4";"30,5";"28,9";"33,1";"24,9";"31,9";"26,1";"30,3";"27,7";"37,3";43;"52,7";50;"51,5"
Pará;"50,2";"51,2";"52,1";50;"46,9";46;"44,9";"47,5";47;"48,6";"44,3";"45,1";"43,1";"42,3";44;"46,1";"47,8";"55,1";"47,9";"50,1"
Amapá;"48,9";"39,4";"40,3";"39,9";"37,3";"39,5";"36,6";"33,5";"28,5";"32,7";"28,4";"25,3";"22,2";"23,7";"29,8";"31,8";"27,5";"35,1";"31,9";"38,9"
Tocantins;"22,2";"17,6";"17,4";"16,5";"18,2";"15,7";"13,3";"14,6";"13,2";"13,5";"13,1";13;"11,4";"10,6";"11,6";"10,5";"12,8";"13,5";"11,9";"14,9"
Nordeste;"43,4";"45,4";"45,1";"45,1";40;"38,5";"38,7";"38,3";36;"36,6";"35,3";"34,6";"33,3";"32,4";"32,9";"34,3";"36,1";"35,3";"30,9";"32,8"
Maranhão;"45,9";"43,6";"43,7";"44,5";"40,5";"38,6";"34,2";"32,9";"31,7";"32,5";"28,4";29;"26,5";"28,2";"30,1";"30,5";"32,6";"31,9";"29,5";"32,8"
Piauí;"37,2";"34,6";"36,4";"35,6";"31,2";32;"28,1";"26,5";"24,2";"24,8";"22,3";"22,4";"19,9";"17,8";"19,6";"20,3";"22,1";"20,8";"19,8";"21,3"
Ceará;"46,3";"49,8";"48,4";"49,6";43;42;"45,4";"45,2";"41,8";"42,4";"39,5";"37,9";"36,5";"37,2";"37,2";"38,1";"40,9";"40,3";"33,4";"35,4"
Rio Grande do Norte;"37,3";"38,4";"39,3";"35,9";"30,8";"29,9";"32,3";30;"28,2";"30,6";"29,3";31;"28,8";"26,7";"28,4";"32,4";"38,2";33;"38,1";"30,8"
Paraíba;"32,2";"32,9";"33,5";"33,1";"26,3";"26,6";"28,1";"27,5";"26,9";"28,1";"29,5";"28,9";"26,5";"25,5";25;"27,2";"31,1";"28,7";"25,6";"27,7"
Pernambuco;"49,1";"51,8";"53,1";"52,2";"46,9";"46,9";"47,6";"46,8";46;"47,4";50;"48,1";"47,3";"48,1";"47,3";"50,9";"50,1";"50,9";"44,5";"48,3"
Alagoas;"39,1";"40,4";"39,4";"41,5";"37,6";"38,1";"38,6";"37,4";"35,6";"34,4";"34,2";"33,4";"32,9";"27,2";"31,4";31;"32,8";"29,7";"24,5";"25,8"
Sergipe;"24,5";"27,9";"25,6";"34,7";"29,5";"24,5";"28,7";"27,2";"24,2";27;24;"28,6";"29,5";"28,2";"29,7";"30,5";"35,7";"36,6";"31,4";"31,5"
Bahia;"46,3";"50,3";49;48;"43,3";"39,6";"39,3";"40,4";"36,9";"36,5";"34,5";"33,1";"32,3";"29,8";"29,3";"29,9";"30,7";"30,6";"24,9";"27,3"
Sudeste;"48,4";47;"45,3";"44,1";"41,7";"41,1";"42,1";"40,6";"39,7";"40,3";"38,8";"38,1";"37,8";"37,9";"37,9";"39,7";"40,5";40;"35,7";37
Minas Gerais;"27,1";"27,5";"27,4";"26,4";"23,7";"23,4";"22,7";"21,1";"18,9";"19,5";"17,9";"17,7";"17,6";"16,5";"16,4";"16,6";"17,1";"17,5";"15,4";"15,6"
Espírito Santo;"41,4";"40,4";"38,6";"37,9";"35,6";"36,6";"39,6";"36,2";"36,3";"34,8";"34,3";"32,1";"30,1";"31,1";"27,5";"29,4";"31,6";"30,4";"32,9";37
Rio de Janeiro;91;88;"84,9";"79,9";74;"73,4";"74,6";"72,7";"69,8";"70,2";"68,1";"64,5";63;"63,8";"64,7";"67,1";"70,5";"70,6";63;"68,6"
São Paulo;"42,7";"41,1";"39,2";"39,1";"38,4";"37,4";"38,9";"37,8";"38,2";"39,1";"37,9";"38,1";"38,3";"38,6";"38,5";41;"40,9";"39,8";35;"34,9"
Sul;"34,3";"35,2";34;"32,8";"30,4";"31,8";"32,5";"32,6";32;"32,4";"31,3";"31,1";"30,4";"29,8";"28,7";"29,2";"30,7";"31,2";"26,4";"26,4"
Paraná;"28,2";"28,8";26;"26,3";"22,9";"24,6";"24,4";"22,8";"22,3";"21,9";"20,3";"21,1";"20,2";"19,4";"19,2";"18,2";"20,6";"20,4";"18,9";"17,4"
Santa Catarina;"27,4";"27,8";"26,4";"25,4";26;26;"27,4";"26,3";"27,2";28;"28,3";"28,3";"27,8";"26,3";"26,3";"25,9";"25,8";"25,9";"20,6";"23,1"
Rio Grande do Sul;"43,9";"45,3";"45,7";43;"39,9";"41,8";"43,2";"45,8";"44,1";"45,1";"43,8";"42,6";42;"42,2";"39,6";"42,1";"43,8";"45,4";"37,6";"37,6"
Centro-Oeste;"26,1";"26,8";"24,4";"25,5";"23,8";23;"23,2";"21,9";"22,3";"22,8";"24,2";"25,6";"23,7";22;"21,9";"21,8";"23,6";"23,3";"20,5";"20,8"
Mato Grosso do Sul;"35,2";"39,9";"38,5";"39,2";"33,3";"34,4";"36,6";"37,1";"33,1";"36,4";"36,4";"35,6";"32,1";32;35;"33,7";"43,1";41;"37,9";"40,1"
Mato Grosso;"40,2";"39,2";35;"40,2";"40,5";"35,1";"37,2";"32,8";"38,1";37;"41,7";51;"46,1";"36,5";"35,8";"35,4";"34,4";"36,6";"30,9";"29,4"
