Indicador 3.3.3 - Taxa de Incidência da malária por 1.000 habitantes;;;;;;;;;;;;;;;;;;;
"Taxa de incidência da malária por 1.000 habitantes (Casos por 1000 habitantes)";;;;;;;;;;;;;;;;;;;
Região Amazônica Brasileira  e Unidades da Federação;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Região Amazônica Brasileira;"19,4";25;"22,2";"18,1";"12,3";"11,8";"12,5";"9,9";"8,8";"6,3";"5,1";5;"4,4";"6,7";"6,5";"5,3";"4,9";"4,7";"4,3"
Rondônia;"68,8";75;63;"49,6";"29,7";"25,1";"26,9";"18,3";"14,3";"8,4";"5,7";4;4;"3,9";"4,4";"5,4";"6,6";"7,9";"6,8"
Acre;"43,7";"80,3";"126,9";"68,2";"34,9";"34,8";"47,4";"28,6";"34,1";"42,4";"37,9";"32,1";"40,7";"42,1";"29,7";"14,5";13;"9,3";"6,7"
Amazonas;"48,6";"72,4";"59,1";"60,7";"40,8";"29,3";"20,8";"16,5";"22,5";"20,3";"17,5";"19,1";"12,6";"20,6";18;"15,8";14;"14,3";"12,8"
Roraima;"65,1";"77,6";"48,6";"33,8";"21,7";"30,4";"41,6";"25,3";"12,4";"9,9";"11,4";"12,1";"10,9";"20,5";"31,9";"33,7";"46,6";"39,9";"38,1"
Pará;16;"17,7";"14,2";"10,4";"9,2";"13,2";"17,6";"14,8";"10,1";"3,2";"1,4";"1,2";"1,8";"4,4";"5,5";"3,8";"2,8";"2,3";"2,6"
Amapá;25;"38,3";"39,1";"26,9";"18,8";"18,8";18;"24,1";18;"18,2";"16,9";"16,8";"14,6";"17,8";"17,3";"11,8";"3,8";"4,6";"3,1"
Tocantins;"0,3";"0,2";"0,1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maranhão;2;"1,5";"1,2";"0,8";"0,5";"0,6";"0,3";"0,3";"0,1";"0,1";"0,1";0;0;0;0;0;0;0;0
Mato Grosso;"2,6";"3,5";"2,8";"2,7";"1,2";"1,1";"0,7";"0,5";"0,3";"0,4";"0,3";"0,4";"0,2";"0,2";"0,3";"0,7";1;"1,2";"0,4"
