Indicador 3.3.4 - Taxa de incidência de hepatite B por 100.000 habitantes;;;;;;;;;;;;
Taxa de incidência de hepatite B por 100.000 habitantes;;;;;;;;;;;;
"Brasil, Grandes Regiões e Unidades da Federação";2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Brasil;"7,7";"7,2";"8,4";8;"8,2";"7,9";"7,1";"6,8";"6,5";"6,7";"6,3";"2,9"
Norte;"14,5";"12,4";"14,2";"13,4";"18,7";"16,4";"11,9";"11,5";"11,8";"12,3";"13,2";"5,5"
Nordeste;"2,9";"2,5";"3,1";"2,9";"2,9";3;"2,6";"2,6";"2,8";"3,3";"3,2";"1,4"
Sudeste;"6,6";"6,1";"7,4";"6,8";"6,2";"5,6";"5,6";"5,3";"5,1";"4,9";"4,1";"1,7"
Sul;"14,6";"14,9";18;"17,8";"17,3";"18,9";17;"15,7";"14,3";"14,9";"14,4";"7,5"
Centro-Oeste;"11,4";"9,3";"9,6";9;"9,3";"8,7";"7,5";"8,4";"7,4";"6,5";"6,6";3
Rondônia;"30,9";"29,1";"33,7";"33,7";"41,1";"37,1";"36,8";34;"30,3";"30,8";"28,8";13
Acre;"94,6";"63,7";"83,6";"85,3";"113,3";"77,1";"41,8";"45,9";"43,9";"38,2";"34,4";"8,5"
Amazonas;19;"16,9";18;"14,1";"28,3";"26,8";"15,1";"13,4";"15,9";"16,9";"21,6";"9,9"
Roraima;"26,8";18;"24,8";"25,1";"18,4";"22,5";17;"22,2";"16,1";"22,2";"27,3";"17,6"
Pará;"2,7";"3,1";"2,6";"3,3";"3,5";"3,4";"3,5";"3,4";4;"4,3";"5,2";2
Amapá;"3,7";"3,4";"3,4";"3,7";"4,1";"3,3";"3,3";"6,5";"6,1";"4,8";"1,2";"0,7"
Tocantins;"9,3";"8,6";"11,2";"7,6";"7,8";"7,9";"6,8";4;"5,9";"8,5";"5,8";"1,7"
Maranhão;4;"3,4";"4,1";3;"2,9";"2,9";"2,9";"2,9";"2,8";"4,1";"4,3";"1,5"
Piauí;"1,4";"0,9";"1,4";"1,5";"1,8";"2,2";"1,1";"1,5";"1,7";"2,4";"2,5";"0,6"
Ceará;"2,6";"1,9";"1,5";"2,2";"1,7";"1,9";"1,8";"1,8";"1,9";"1,9";"1,7";1
Rio Grande do Norte;1;"1,2";"2,6";"2,3";"1,8";"2,1";1;"1,5";"1,7";"1,9";"1,9";"0,7"
Paraíba;"2,7";"3,7";"4,2";"4,6";"4,9";"3,6";"1,5";"1,5";"1,9";"2,9";"2,9";"0,8"
Pernambuco;"1,6";"1,8";"2,5";"2,2";"2,6";"2,8";"1,6";"2,2";"2,1";"2,8";"3,7";"1,9"
Alagoas;"5,4";"3,7";"3,2";"2,7";"2,2";"3,2";"2,9";"3,5";"5,1";"5,2";"5,5";"2,4"
Sergipe;7;"4,7";"5,9";"5,3";"4,6";"4,6";"5,1";"4,5";"4,9";"5,9";"5,6";"2,6"
Bahia;"3,2";"2,8";"3,5";"3,4";"3,7";"3,8";"4,2";"3,5";"3,8";"3,9";"2,9";"1,3"
Minas Gerais;"4,3";"3,7";"4,1";"3,5";"3,8";"4,2";"4,7";"4,2";"3,8";"4,1";"3,5";"1,4"
Espírito Santo;"12,7";"9,9";"12,4";"15,8";"13,5";12;"9,2";"8,6";"9,1";"8,1";"6,4";"2,3"
Rio de Janeiro;"4,9";"4,6";"6,6";"4,9";"4,2";3;"3,1";3;3;"2,6";"3,2";"1,2"
São Paulo;"7,9";"7,6";"8,9";"8,3";"7,4";"6,7";"6,7";"6,4";"6,2";"5,8";"4,4";"1,9"
Paraná;"13,7";"15,8";"19,1";18;"17,9";"18,7";"16,6";"16,4";"14,9";"15,6";"14,9";7
Santa Catarina;"21,6";"20,8";26;"25,6";"23,9";"26,5";"22,8";"20,2";"17,5";"17,4";17;"9,6"
Rio Grande do Sul;"11,6";"10,6";"12,1";13;"12,7";"14,4";"13,9";"12,4";"11,6";"12,7";"12,4";"6,7"
Mato Grosso do Sul;12;"7,5";"7,3";"6,7";"6,9";"5,5";"3,3";"3,4";"4,3";"4,6";"3,5";"1,3"
Mato Grosso;"20,3";"19,4";"21,8";"21,1";"20,8";"20,2";"17,9";"16,5";"16,4";"13,8";"15,3";"6,6"
Goiás;"8,6";"6,8";"6,2";"5,6";"5,7";"5,7";5;6;"6,4";5;"4,9";"2,2"
Distrito Federal;"6,8";5;"5,4";"4,8";"6,6";"5,4";5;9;"2,5";"3,7";"3,6";"2,5"
