"Indicador 3.4.2 - Taxa de mortalidade por suicídio por ano, segundo Grandes Regiões e Unidades da Federação - Brasil";;;;;;;;;;;;;;;;;;;;
"Taxa bruta de mortalidade por suicídio (Óbitos por 100 mil habitantes, população com 5 anos ou mais)";;;;;;;;;;;;;;;;;;;;
"Brasil, Grandes Regiões e Unidades da Federação";2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Brasil;"4,9";"4,8";"4,8";"4,8";"5,1";5;"5,1";"5,3";"5,3";"5,3";"5,4";"5,6";"5,7";"5,7";"5,9";6;"6,5";"6,6";"6,9";7
Norte;"3,7";"3,2";"3,5";"3,5";"3,6";"3,6";4;"4,4";"4,2";"4,3";"4,7";"4,6";"4,9";"4,5";"5,6";"5,1";"5,5";6;"6,3";"6,6"
Rondônia;6;"3,4";4;"4,7";"4,7";"4,5";3;"5,3";"5,9";"5,6";"5,3";"4,9";"5,6";"5,4";7;"6,5";"7,1";"7,7";"8,6";"8,4"
Acre;"5,7";"4,2";"4,8";"4,6";"3,3";"4,2";"5,6";"5,2";"4,7";"6,1";"5,9";"6,1";"6,1";"6,7";"5,2";"7,4";"8,3";"7,5";9;"8,9"
Amazonas;"3,7";"3,1";"3,4";"3,6";"3,2";"3,5";"4,4";"4,9";"4,9";"5,1";"5,8";"5,6";"6,7";"6,8";"7,6";"5,5";"5,7";"6,4";"6,8";"8,2"
Roraima;"5,7";"6,1";"6,2";"8,1";"7,8";"9,5";"11,6";"8,1";"8,1";"8,3";"8,1";"8,9";"7,5";"3,3";"11,3";"12,5";"10,2";"7,1";"9,1";"6,3"
Pará;"2,6";"2,4";"2,3";"2,2";"2,6";"2,5";"2,7";"3,2";"2,8";"2,7";"3,1";"3,4";"3,2";"2,8";"3,5";"3,6";"3,9";"4,5";"4,4";"4,9"
Amapá;"6,8";"8,1";"7,8";"7,7";8;"4,7";"4,9";"5,4";"4,4";"4,9";"5,9";"3,2";"6,8";5;"7,6";5;"6,3";"8,3";8;"6,5"
Tocantins;"4,4";"4,6";"6,4";"5,2";"5,8";6;7;"6,8";"6,3";"6,8";"7,1";"7,1";7;"6,3";"7,2";"7,2";"8,2";"8,7";"9,3";8
Nordeste;"3,2";"3,4";"3,6";"3,6";4;"4,1";"4,5";"4,5";"4,3";"4,3";"4,6";"4,6";"4,9";"4,7";"4,9";"5,2";"5,7";"5,7";"5,8";"6,1"
Maranhão;"2,1";"2,4";"1,7";"1,8";"2,1";"2,8";"2,8";"3,1";"2,6";"3,4";"3,6";"3,3";"3,9";"4,1";"4,4";"4,6";5;"4,9";"5,1";"5,2"
Piauí;"4,3";"4,5";"5,1";"5,8";"5,3";"6,4";"7,3";"7,5";"7,1";"6,9";"7,9";"7,9";"7,6";"8,2";9;"10,7";"10,5";"10,9";"10,8";"10,3"
Ceará;"5,5";"6,5";"5,8";"6,3";"7,2";"6,5";"6,9";7;"6,4";"6,1";"6,9";"6,3";"7,2";"6,9";"6,8";"7,1";"7,7";"7,8";"7,4";"7,1"
Rio Grande do Norte;"4,5";4;"5,5";"4,2";"5,8";"5,1";"4,6";"5,1";"4,9";"4,6";"5,9";"5,6";"5,1";"5,4";5;"5,7";"5,6";"6,1";"6,2";"7,1"
Paraíba;"1,4";"2,3";"2,5";"2,7";"3,2";"3,8";"3,9";"4,5";"4,7";"4,5";"4,6";"5,3";"5,5";"4,3";6;"4,9";"6,8";"6,4";"6,7";"6,9"
Pernambuco;"3,7";"3,4";"3,9";"3,8";4;"3,8";"4,7";"4,5";4;"3,5";"3,5";4;"3,8";"3,8";"3,6";"4,6";5;"4,9";5;5
Alagoas;"3,7";"3,2";"2,6";"3,5";"2,9";"3,4";"3,9";"3,7";"3,9";"2,9";"3,6";"3,7";"4,8";"3,9";"3,9";"3,7";"3,4";"4,5";"4,2";"5,4"
Sergipe;"4,2";"4,7";"4,7";"4,6";"4,5";"4,2";"5,3";"5,8";"5,8";"6,7";"6,4";"5,5";"6,2";"5,4";"5,9";"5,6";"6,1";"6,4";"5,4";6
Bahia;2;2;"2,4";"2,1";"2,8";3;"3,3";"2,9";"2,9";"3,3";"3,3";"3,6";"3,7";"3,3";"3,7";"3,9";"4,4";"4,1";"4,7";"5,3"
Sudeste;"4,4";"4,3";"4,3";"4,2";"4,4";"4,5";"4,4";"4,5";"4,7";"4,9";"5,1";"5,1";5;"5,4";"5,4";"5,3";"5,7";"5,7";6;"6,1"
Minas Gerais;"4,8";"4,7";"5,5";"5,2";"5,6";"5,7";"5,7";"5,7";"6,1";"5,9";"6,7";"6,7";"6,1";"7,1";"6,7";"6,7";"7,7";"7,8";"8,7";"8,2"
Espírito Santo;4;"4,3";5;"4,9";"5,3";5;"4,3";"4,7";"4,6";"4,8";"4,8";"5,2";"4,6";"4,9";"5,3";"4,9";"5,7";"6,5";"6,6";"6,6"
Rio de Janeiro;"3,4";"3,3";"2,5";"2,8";3;"2,8";"2,4";"2,3";"2,1";"3,3";"2,8";3;"2,8";"3,3";"3,4";"3,6";"3,8";"4,4";"3,6";"4,9"
São Paulo;"4,7";"4,4";"4,3";"4,2";"4,4";"4,6";"4,5";"4,9";"5,1";5;"5,2";"5,2";"5,4";"5,5";"5,6";"5,3";"5,5";"5,2";"5,5";"5,5"
Sul;"9,2";"8,6";"8,4";"8,8";"8,8";"8,5";"8,6";"8,8";"8,8";"8,3";"8,2";"8,9";"8,9";"8,6";"9,2";"9,5";"10,4";"10,4";"11,3";"11,1"
Paraná;"7,4";"6,4";"6,4";"7,3";"7,1";"6,2";"6,5";"6,2";"6,6";6;"5,9";"6,2";"6,5";"6,1";7;"7,3";"7,4";"8,7";"8,9";"8,7"
Santa Catarina;"9,1";"8,4";"7,7";"7,8";"8,2";"6,9";8;"8,5";"8,9";"8,9";"8,6";9;"9,2";"9,4";10;"10,5";"11,4";"11,2";"11,9";"11,5"
Rio Grande do Sul;"10,8";"10,7";"10,6";"10,7";"10,9";"11,5";11;"11,5";"10,9";"10,2";"10,1";"11,4";11;"10,7";"10,9";"11,1";"12,8";"11,7";"13,4";"13,2"
Centro-Oeste;"6,3";"7,1";"6,6";"6,7";"6,4";"6,2";6;"6,7";"6,4";"6,1";6;"6,8";"6,9";"6,8";"6,6";"7,2";"7,7";"7,9";"8,5";"8,5"
Mato Grosso do Sul;"7,1";"8,4";"9,2";"9,3";"9,2";9;"8,6";"8,2";"9,1";"8,2";"9,1";"8,9";"9,6";"8,5";"9,4";9;"10,4";"10,6";"10,3";"9,4"
Mato Grosso;"6,1";"6,4";"6,6";"6,3";"5,9";"6,5";"5,7";"6,6";"6,8";"5,7";"5,5";"6,3";6;"5,2";"4,8";"5,8";"6,3";"7,2";"7,5";8
Goiás;7;"7,9";"6,6";"6,6";"6,5";"5,6";"5,7";"6,9";"5,5";"5,6";"5,9";"6,9";"7,2";"7,5";"7,1";"7,7";"7,9";"7,8";"8,9";9
Distrito Federal;"4,1";"4,5";"4,2";"4,7";"4,1";"4,9";"4,5";"5,1";"5,4";"6,1";4;"5,4";"4,9";"5,2";"4,9";"5,7";"6,2";"6,8";"7,1";7
