Indicador 3.6.1 - Taxa de mortalidade por acidentes de trânsito;;;;;;;;;;
Taxa de mortalidade por acidentes de trânsito (óbitos por 100 mil habitantes);;;;;;;;;;
"Brasil, Grandes Regiões e Unidades da Federação";2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Brasil;22;"22,6";"21,1";"21,7";19;"18,2";"17,1";"15,7";"15,2";"15,4"
Norte;"20,8";"21,5";"20,3";"20,7";"19,4";"18,9";"18,1";"16,1";"15,9";"16,8"
Rondônia;"36,6";"40,6";"32,9";"32,2";"29,8";"28,1";"28,3";"22,8";"22,3";"23,3"
Acre;"20,7";"20,6";"16,6";"16,9";"13,8";"14,5";"13,4";"10,8";"12,7";"12,2"
Amazonas;"14,2";"12,6";"12,1";"12,3";"11,3";"10,8";"9,9";"10,4";"9,7";"9,5"
Roraima;"28,8";"30,6";"30,7";"28,1";31;"20,2";"24,7";16;"20,1";"20,1"
Pará;"17,5";"19,4";"19,4";"19,4";"18,9";"18,7";"17,2";"16,3";"15,7";"17,8"
Amapá;"21,1";17;"15,7";"16,8";"11,7";"12,2";"11,6";"7,7";"9,9";"8,4"
Tocantins;"35,2";"34,4";"32,8";"38,1";"35,1";"36,1";"37,1";30;"29,1";"28,7"
Nordeste;22;"24,2";"22,9";"23,8";"21,7";"20,9";"18,7";"17,6";"16,8";"17,1"
Maranhão;"22,4";"25,9";"23,8";"26,3";"23,6";"24,3";"20,7";"19,5";"18,4";20
Piauí;"31,4";"35,2";"33,9";"37,3";"34,7";"32,3";"30,3";29;"26,8";"27,4"
Ceará;"23,8";"27,9";"26,9";"29,8";"25,9";"21,9";"17,9";"17,7";"15,2";"14,4"
Rio Grande do Norte;"18,1";"18,2";"18,3";"17,4";"17,2";"16,2";"15,6";"14,9";"12,9";"12,6"
Paraíba;"20,7";25;"25,9";"24,5";"25,9";"25,7";"22,9";"21,6";"19,2";"19,5"
Pernambuco;"22,2";"22,3";"20,3";"20,7";"20,2";"19,9";"17,9";"16,4";"15,4";"15,7"
Alagoas;"25,8";"25,9";"23,9";"25,5";"22,3";"22,2";"18,9";"17,8";"18,3";"20,1"
Sergipe;"26,8";"29,1";"30,3";24;"25,5";"21,2";"18,3";"17,4";"17,4";18
Bahia;"18,3";"19,8";"18,4";"18,8";"15,5";"16,3";"15,8";"14,3";"15,6";"15,5"
Sudeste;"19,2";"18,8";"17,5";"18,1";"15,2";"14,3";"13,9";"12,2";"11,9";"12,1"
Minas Gerais;"22,2";"21,2";"20,3";"20,5";"18,5";17;"17,4";"15,1";"14,6";"13,6"
Espírito Santo;"31,1";"31,5";"28,6";"26,2";"22,1";"21,5";"23,5";"19,6";"19,3";"18,6"
Rio de Janeiro;"16,9";"18,4";"16,2";"17,4";13;"13,3";"12,6";12;"8,9";"10,5"
São Paulo;"17,7";"16,8";"15,6";"16,6";"13,8";"12,8";"11,9";"10,2";"11,1";"11,4"
Sul;"26,8";"27,1";"24,3";"24,3";"21,1";"20,6";"20,1";"18,8";"18,4";18
Paraná;"31,6";"33,4";"28,9";"27,7";"24,5";"24,4";"22,6";"21,5";"21,2";"21,8"
Santa Catarina;"31,1";"29,7";"25,9";"27,9";"23,3";"21,9";"21,6";"19,6";"20,1";"18,7"
Rio Grande do Sul;"19,5";"19,3";19;"18,7";"16,3";"16,1";"16,7";"15,5";"14,6";"13,7"
Centro-Oeste;"29,9";"30,7";"29,9";"30,4";"26,1";"24,6";"22,5";"21,6";"20,8";22
Mato Grosso do Sul;"33,3";"31,2";"30,8";"31,5";"24,8";"23,5";"21,6";"20,6";"22,2";22
Mato Grosso;"33,5";"35,8";"35,8";"34,4";"31,4";"30,2";"29,4";"30,2";"27,6";"31,1"
Goiás;"30,7";"32,5";"31,3";"32,9";"28,2";"26,4";"24,1";"22,1";"20,9";"22,3"
Distrito Federal;"20,6";"20,3";19;"18,5";"16,3";"15,1";"11,6";"11,8";"11,1";"10,5"
