"Indicador 3.7.2 - Número de nascidos vivos de mães adolescentes (grupos etários 10-14 e 15-19), por 1 000 mulheres destes grupos etários";;;;;;;;;;;;;;;;;;;
"Mães adolescentes de 10 a 19 anos, por 1 000 mulheres destes grupos etários";;;;;;;;;;;;;;;;;;;
"Brasil, Grande Região e Unidades da Federação";2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Brasil;"42,1";"40,8";"39,2";"38,4";"37,9";"38,1";"36,7";"35,4";"34,9";"33,5";"32,3";33;"33,2";"33,6";"34,1";"33,6";"31,2";"30,5";"29,4"
Norte;57;"57,5";"56,1";"56,8";"55,6";"55,4";"54,5";"52,3";"52,3";"49,6";"47,4";"48,5";"47,7";"48,3";"49,1";"47,9";"44,6";"43,6";"43,4"
Rondônia;"59,7";"51,5";"50,6";"48,8";"48,9";"46,7";"40,7";"36,5";"41,5";"40,1";"38,5";"40,6";"38,1";"38,3";"38,1";"37,3";"35,7";"34,3";"33,9"
Acre;"68,9";"64,5";"66,8";"64,5";"65,1";"63,8";"59,4";"56,1";"61,1";"55,7";"53,4";"56,3";"51,8";"53,2";"52,8";"51,3";"45,7";"45,9";"45,6"
Amazonas;"57,6";"58,2";58;"57,4";"56,9";"56,2";"56,4";"53,4";"52,9";"53,2";"49,9";"52,6";"53,8";"55,3";"55,6";"54,3";"49,9";"50,4";"49,6"
Roraima;"74,9";"71,1";"64,6";"69,8";"64,3";"58,8";"56,4";"55,7";"54,4";"50,7";"49,4";"49,6";"53,6";54;"55,8";54;"54,7";"52,4";"58,8"
Pará;"52,5";"55,5";"54,1";"56,1";"54,8";"55,7";"55,8";"54,8";"53,5";"49,7";"47,6";48;"46,7";"46,9";"48,1";47;"43,8";"42,1";"41,8"
Amapá;"66,9";"67,3";"60,8";"63,2";"59,7";"58,2";"58,2";"54,3";"54,2";"49,3";"49,9";"49,8";"48,9";"50,3";"52,3";"49,2";"46,9";"43,9";"44,6"
Tocantins;"61,6";"62,2";"59,1";"57,5";"55,1";"55,1";"53,2";"49,5";"49,4";"46,1";"44,2";"43,5";"41,9";"41,5";"42,3";"41,7";"37,9";"38,3";"36,8"
Nordeste;"43,2";"43,8";"42,8";43;"42,4";"43,1";"40,9";40;"39,1";"37,3";"35,6";"36,4";"36,1";"35,9";"36,3";"36,4";"34,4";"34,1";"33,4"
Maranhão;"43,9";"47,5";"50,9";"54,9";"53,7";55;"52,9";52;"50,9";"47,6";"44,6";"44,8";"43,1";"42,8";"43,4";"43,7";"41,1";"40,9";"41,3"
