Indicador 3.8.2 - Proporção de pessoas em famílias com grandes gastos em saúde em relaçao ao total de despesas familiares;;
"Brasil, Grande Região Unidades de Federação";2008;
;10%;25%
Brasil;"18,6";"3,7"
Norte;"10,9";"1,3"
Rondônia;"18,8";"3,5"
Acre;"11,5";"1,4"
Amazonas;"3,3";"0,4"
Roraima;"10,3";"1,2"
Pará;"11,8";"1,1"
Amapá;"7,7";"0,8"
Tocantins;15;"2,3"
Nordeste;17;"3,2"
Maranhão;"14,7";"2,7"
Piauí;"19,7";"3,8"
Ceará;"14,2";"1,9"
Rio Grande do Norte;"15,2";"2,6"
Paraíba;"17,3";"4,3"
Pernambuco;"17,2";3
Alagoas;19;"4,5"
Sergipe;"17,2";"3,1"
Bahia;"18,6";"3,8"
Sudeste;"20,7";"4,2"
Minas Gerais;"21,9";"4,8"
Espírito Santo;"19,9";"4,6"
Rio de Janeiro;"18,8";4
São Paulo;"21,1";"3,9"
Sul;"19,4";"4,2"
Paraná;"21,1";"5,1"
Santa Catarina;"16,3";"3,1"
Rio Grande do Sul;"19,5";"3,9"
Centro-Oeste;"17,3";"3,5"
Mato Grosso do Sul;"18,8";"3,5"
Mato Grosso;"16,8";"2,9"
Goiás;"18,4";"4,1"
Distrito Federal;14;"2,9"
