Indicador 3.9.3 - Taxa de mortalidade atribuída a intoxicação não intencional;;;;;;;;;;;;;;;;;;;;
Taxa de mortalidade atribuída a intoxicação não intencional (Óbitos por 100 000 habitantes);;;;;;;;;;;;;;;;;;;;
"Brasil, Grandes Regiões e Unidades da Federação";2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Brasil;"0,12";"0,11";"0,12";"0,11";"0,1";"0,13";"0,11";"0,1";"0,11";"0,12";"0,1";"0,13";"0,15";"0,22";"0,21";"0,16";"0,17";"0,19";"0,17";"0,22"
Norte;"0,21";"0,27";"0,23";"0,25";"0,22";"0,16";"0,12";"0,15";"0,14";"0,17";"0,11";"0,13";"0,17";"0,14";"0,17";"0,11";"0,1";"0,13";"0,14";"0,09"
Rondônia;"0,56";"0,48";"0,07";"0,13";"0,33";"0,26";"0,26";"0,26";"0,13";"0,06";"0,19";"0,18";"0,24";"0,18";"0,24";"0,17";"0,12";"0,23";"0,06";"0,06"
Acre;"0,17";"0,16";"0,16";"0,3";"0,3";"0,43";0;0;0;0;"0,39";"0,13";"0,12";0;"0,24";0;0;"0,12";0;0
Amazonas;"0,07";"0,53";"0,23";"0,1";"0,28";"0,12";"0,12";"0,09";"0,11";"0,17";"0,03";"0,05";"0,16";"0,26";"0,18";"0,13";"0,25";"0,25";"0,31";"0,26"
Roraima;0;0;0;"0,26";"0,25";0;"0,24";0;"0,22";"0,22";0;"0,83";"1,02";"0,6";"0,19";"0,19";"0,18";"0,17";"0,17";0
Pará;"0,21";"0,06";"0,28";"0,3";"0,13";"0,11";"0,07";"0,19";"0,2";"0,19";"0,11";"0,13";"0,12";"0,1";"0,16";"0,08";"0,04";"0,05";"0,07";"0,02"
Amapá;"0,19";"0,56";0;"0,17";"0,17";"0,16";0;0;0;"0,14";0;0;0;0;"0,13";0;0;0;"0,12";"0,23"
Tocantins;"0,25";"0,49";"0,32";"0,47";"0,38";"0,3";"0,3";"0,22";"0,07";"0,28";"0,14";"0,14";"0,2";0;"0,07";"0,2";"0,13";"0,26";"0,19";"0,06"
Nordeste;"0,13";"0,11";"0,14";"0,1";"0,14";"0,11";"0,13";"0,11";"0,1";"0,12";"0,11";"0,14";"0,11";"0,12";"0,09";"0,11";"0,1";"0,08";"0,09";"0,12"
